;index;recovered_yhat;recovered_yhat_lower;recovered_yhat_upper;ds;deaths_yhat;deaths_yhat_lower;deaths_yhat_upper;confirmed_yhat;confirmed_yhat_lower;confirmed_yhat_upper;confirmed;deaths;recovered
51;51;67353.74920381382;57245.2536464537;76992.54439893566;2020-03-13;5864.523541798184;3678.3305704233403;8210.701332016057;151069.63642319225;101261.60104625126;196043.9597829116;144467.0;5398.0;69914.0
52;52;70332.24648431971;61411.846003400795;79687.56597384169;2020-03-14;5858.61791198583;3590.9389547753735;8191.861485719933;133839.1895124367;88310.03929056611;182966.94476563125;155525.0;5810.0;72287.0
53;53;73749.84838684744;64283.264173064366;83416.447244824;2020-03-15;7003.9431303617985;4659.768354301024;9287.661722502677;169800.12159785157;121174.63546863236;211272.2433056656;166167.0;6430.0;75697.0
54;54;75925.45051056227;66646.81824335604;85672.15362092922;2020-03-16;7488.450262747865;5135.0154967338285;9542.772321702563;178610.86752826456;130642.85991029395;226173.0938653332;180543.0;7118.0;77746.0
55;55;75025.59339596247;65634.95589299731;84338.40803657829;2020-03-17;7108.7980785390155;4793.166312508858;9404.956919735909;172649.951582848;125806.80541322827;219259.3494821357;196071.0;7897.0;80498.0
56;56;77725.10681731255;68576.37901863908;86705.81360430775;2020-03-18;7674.804385963123;5545.626048167743;9937.288847631253;183172.33017041738;134911.38609408785;231011.23759310922;215199.0;8751.0;82882.0
57;57;80226.47212068258;70977.48041769229;89216.88348523974;2020-03-19;8323.609614494795;6103.17893874301;10636.363736453177;195649.14588576165;152120.96000706346;238882.68147571222;242135.0;9869.0;84529.0
58;58;82697.69418476167;73484.7825393329;92114.93107385882;2020-03-20;9045.207158800697;6841.081269569153;11526.517783889381;252739.39173789744;206763.17568139377;298126.37993437547;271453.0;11306.0;86948.0
59;59;85676.73421073896;76849.22129491367;95662.01466994945;2020-03-21;9039.622846405779;6992.580775389065;11066.44712400945;283282.181918567;233869.48533527623;328035.6044419227;303822.0;12976.0;91191.0
60;60;96636.0250527415;87397.52366125281;105054.05162319465;2020-03-22;13281.922903003566;11150.65257326361;15643.303742633672;367020.35468000936;321655.6568063643;411218.9828109237;336586.0;14652.0;97396.0
